Station Name,lovelyDay871,,,,,,
Download Time,Sun Feb 18 2018 16:59:12 GMT-0600,,,,,,
,,,,,,,
N,Date,Temp F,Temp C,Flow l/s,Pump,dhtTemp C,dhtRH %
0,Sun Feb 18 2018 16:55:18 GMT-0600,79.07,25.7,0.67,1,21.6,40.1
1,Sun Feb 18 2018 16:55:19 GMT-0600,79.65,26.35,0.66,1,21.6,40.4
2,Sun Feb 18 2018 16:55:20 GMT-0600,80.02,26.15,0.67,1,21.6,40.2
3,Sun Feb 18 2018 16:55:21 GMT-0600,80.24,27.01,0.67,1,21.6,40.2
4,Sun Feb 18 2018 16:55:22 GMT-0600,80.24,26.35,0.67,1,21.6,40.2
5,Sun Feb 18 2018 16:55:23 GMT-0600,79.65,27.01,0.67,1,21.6,40.2
6,Sun Feb 18 2018 16:55:24 GMT-0600,80.62,26.68,0.67,1,21.6,40.2
7,Sun Feb 18 2018 16:55:25 GMT-0600,80.46,27.21,0.66,1,21.6,40.2
8,Sun Feb 18 2018 16:55:26 GMT-0600,79.43,26.47,0.67,1,21.6,40.2
9,Sun Feb 18 2018 16:55:27 GMT-0600,78.69,26.35,0.67,1,21.6,40.2
10,Sun Feb 18 2018 16:55:28 GMT-0600,80.24,27.01,0.67,1,21.6,40.1
11,Sun Feb 18 2018 16:55:29 GMT-0600,81.19,26.8,0.67,1,21.6,40.2
12,Sun Feb 18 2018 16:55:30 GMT-0600,77.81,27.01,0.67,1,21.6,40.2
13,Sun Feb 18 2018 16:55:31 GMT-0600,80.62,27.63,0.66,1,21.6,40.4
14,Sun Feb 18 2018 16:55:32 GMT-0600,80.83,26.8,0.67,1,21.6,40.4
15,Sun Feb 18 2018 16:55:33 GMT-0600,80.24,27.54,0.67,1,21.6,40.4
16,Sun Feb 18 2018 16:55:34 GMT-0600,80.83,27.01,0.67,1,21.6,40.5
17,Sun Feb 18 2018 16:55:35 GMT-0600,80.83,28.61,0.67,1,21.6,40.5
18,Sun Feb 18 2018 16:55:35 GMT-0600,80.24,27.45,0.67,1,21.6,40.6
19,Sun Feb 18 2018 16:55:36 GMT-0600,81.57,26.92,0.67,1,21.6,40.5
20,Sun Feb 18 2018 16:55:37 GMT-0600,80.83,27.25,0.67,1,21.6,40.4
21,Sun Feb 18 2018 16:55:38 GMT-0600,80.89,26.8,0.67,1,21.6,40.3
22,Sun Feb 18 2018 16:55:40 GMT-0600,81.05,26.8,0.67,1,21.6,40.2
23,Sun Feb 18 2018 16:55:40 GMT-0600,80.83,27.54,0.67,1,21.4,40
24,Sun Feb 18 2018 16:55:41 GMT-0600,81.41,26.8,0.67,1,21.6,40.2
25,Sun Feb 18 2018 16:55:42 GMT-0600,82.22,27.45,0.67,1,21.6,40.2
26,Sun Feb 18 2018 16:55:43 GMT-0600,80.08,26.92,0.66,1,21.6,40.2
27,Sun Feb 18 2018 16:55:44 GMT-0600,80.83,27.33,0.67,1,21.6,40.2
28,Sun Feb 18 2018 16:55:45 GMT-0600,81.05,28.1,0.67,1,21.6,40.2
29,Sun Feb 18 2018 16:55:46 GMT-0600,80.83,27.33,0.66,1,21.6,40
30,Sun Feb 18 2018 16:55:47 GMT-0600,81.05,27.66,0.67,1,21.6,39.9
31,Sun Feb 18 2018 16:55:48 GMT-0600,80.67,27.78,0.67,1,21.6,39.7
32,Sun Feb 18 2018 16:55:49 GMT-0600,81.05,26.92,0.67,1,21.6,39.8
33,Sun Feb 18 2018 16:55:50 GMT-0600,82,27.13,0.66,1,21.6,39.8
34,Sun Feb 18 2018 16:55:51 GMT-0600,80.83,27.78,0.67,1,21.6,39.9
35,Sun Feb 18 2018 16:55:52 GMT-0600,79.72,27.42,0.67,1,21.6,39.9
36,Sun Feb 18 2018 16:55:53 GMT-0600,81.05,27.57,0.67,1,21.6,40
37,Sun Feb 18 2018 16:55:54 GMT-0600,81.19,27.57,0.67,1,21.6,40
38,Sun Feb 18 2018 16:55:55 GMT-0600,82,27.45,0.67,1,21.6,40
39,Sun Feb 18 2018 16:55:56 GMT-0600,82.74,26.39,0.67,1,21.6,40.1
40,Sun Feb 18 2018 16:55:57 GMT-0600,81.05,27.13,0.67,1,21.6,40.1
41,Sun Feb 18 2018 16:55:58 GMT-0600,81.05,27.66,0.67,1,21.6,40.2
42,Sun Feb 18 2018 16:55:59 GMT-0600,81.63,29.95,0.67,1,21.6,40.2
43,Sun Feb 18 2018 16:56:00 GMT-0600,80.46,26.83,0.67,1,21.6,40.2
44,Sun Feb 18 2018 16:56:01 GMT-0600,81.05,26.42,0.67,1,21.6,40.2
45,Sun Feb 18 2018 16:56:02 GMT-0600,79.27,27.13,0.67,1,21.6,40.2
46,Sun Feb 18 2018 16:56:03 GMT-0600,81.05,27.04,0.67,1,21.6,40.2
47,Sun Feb 18 2018 16:56:04 GMT-0600,80.67,27.25,0.67,1,21.6,40.2
48,Sun Feb 18 2018 16:56:05 GMT-0600,81.63,27.13,0.67,1,21.6,40.2
49,Sun Feb 18 2018 16:56:06 GMT-0600,81.63,27.78,0.67,1,21.6,40.2
50,Sun Feb 18 2018 16:56:07 GMT-0600,80.29,27.45,0.67,1,21.6,40.2
51,Sun Feb 18 2018 16:56:08 GMT-0600,82,27.57,0.67,1,21.6,40.2
52,Sun Feb 18 2018 16:56:09 GMT-0600,80.46,27.13,0.67,1,21.6,40.2
53,Sun Feb 18 2018 16:56:10 GMT-0600,80.83,27.13,0.67,1,21.7,40.3
54,Sun Feb 18 2018 16:56:11 GMT-0600,80.15,27.25,0.67,1,21.7,40.3
55,Sun Feb 18 2018 16:56:12 GMT-0600,82.38,27.78,0.67,1,21.6,40.2
56,Sun Feb 18 2018 16:56:13 GMT-0600,80.83,27.45,0.67,1,21.7,40.3
57,Sun Feb 18 2018 16:56:14 GMT-0600,81.05,27.45,0.67,1,21.6,40.2
58,Sun Feb 18 2018 16:56:15 GMT-0600,80.83,26.42,0.67,1,21.7,40.3
59,Sun Feb 18 2018 16:56:16 GMT-0600,80.83,27.13,0.67,1,21.6,40.2
60,Sun Feb 18 2018 16:56:17 GMT-0600,81.41,26.59,0.67,1,21.7,40.3
61,Sun Feb 18 2018 16:56:18 GMT-0600,83.98,27.9,0.67,1,21.7,40.3
62,Sun Feb 18 2018 16:56:19 GMT-0600,81.05,26.92,0.67,1,21.6,40.2
63,Sun Feb 18 2018 16:56:20 GMT-0600,81.41,27.57,0.67,1,21.7,40.2
64,Sun Feb 18 2018 16:56:21 GMT-0600,80.46,27.25,0.66,1,21.7,40.2
65,Sun Feb 18 2018 16:56:22 GMT-0600,81.05,27.04,0.67,1,21.6,40
66,Sun Feb 18 2018 16:56:23 GMT-0600,81.41,27.45,0.67,1,21.6,40
67,Sun Feb 18 2018 16:56:24 GMT-0600,80.89,26.71,0.67,1,21.6,39.9
68,Sun Feb 18 2018 16:56:25 GMT-0600,81.63,27.45,0.67,1,21.6,40
69,Sun Feb 18 2018 16:56:26 GMT-0600,81.41,28.76,0.67,1,21.6,40
70,Sun Feb 18 2018 16:56:27 GMT-0600,81.79,27.66,0.67,1,21.6,40
71,Sun Feb 18 2018 16:56:28 GMT-0600,81.63,27.45,0.67,1,21.6,40.1
72,Sun Feb 18 2018 16:56:29 GMT-0600,80.46,27.13,0.67,1,21.7,40.2
73,Sun Feb 18 2018 16:56:30 GMT-0600,81.79,27.45,0.67,1,21.6,40.1
74,Sun Feb 18 2018 16:56:31 GMT-0600,81.63,27.13,0.67,1,21.7,40.3
75,Sun Feb 18 2018 16:56:32 GMT-0600,81.63,27.13,0.67,1,21.6,40.2
76,Sun Feb 18 2018 16:56:33 GMT-0600,82.22,27.13,0.67,1,21.6,40.2
77,Sun Feb 18 2018 16:56:34 GMT-0600,80.67,27.45,0.67,1,21.6,40.2
78,Sun Feb 18 2018 16:56:35 GMT-0600,81.63,27.66,0.67,1,21.6,40.2
79,Sun Feb 18 2018 16:56:36 GMT-0600,81.63,27.66,0.67,1,21.7,40.3
80,Sun Feb 18 2018 16:56:37 GMT-0600,81.05,26.59,0.67,1,21.7,40.3
81,Sun Feb 18 2018 16:56:38 GMT-0600,81.79,27.25,0.66,1,21.6,40.2
82,Sun Feb 18 2018 16:56:39 GMT-0600,80.83,27.45,0.67,1,21.6,40.2
83,Sun Feb 18 2018 16:56:40 GMT-0600,81.63,27.33,0.67,1,21.7,40.3
84,Sun Feb 18 2018 16:56:41 GMT-0600,80.46,27.45,0.67,1,21.6,40.2
85,Sun Feb 18 2018 16:56:42 GMT-0600,80.46,27.99,0.67,1,21.6,40.2
86,Sun Feb 18 2018 16:56:43 GMT-0600,80.46,27.45,0.67,1,21.6,40.2
87,Sun Feb 18 2018 16:56:44 GMT-0600,84.09,27.78,0.67,1,21.7,40.3
88,Sun Feb 18 2018 16:56:45 GMT-0600,81.41,27.25,0.67,1,21.6,40.2
89,Sun Feb 18 2018 16:56:46 GMT-0600,81.63,27.25,0.67,1,21.7,40.3
90,Sun Feb 18 2018 16:56:47 GMT-0600,80.08,26.71,0.67,1,21.7,40.3
91,Sun Feb 18 2018 16:56:48 GMT-0600,81.63,27.57,0.67,1,21.6,40.2
92,Sun Feb 18 2018 16:56:49 GMT-0600,80.67,26.22,0.67,1,21.6,40.2
93,Sun Feb 18 2018 16:56:50 GMT-0600,81.63,27.78,0.67,1,21.6,40.1
94,Sun Feb 18 2018 16:56:51 GMT-0600,83.33,26.15,0.67,1,21.6,40
95,Sun Feb 18 2018 16:56:52 GMT-0600,81.63,27.45,0.67,1,21.7,40
